customer_id,cohort_month,txn_month
59540,2021-11,2021-12
54871,2021-06,2023-06
51818,2021-07,2023-08
18164,2022-01,2022-06
86915,2023-06,2023-07
10749,2021-03,2023-01
25984,2022-04,2023-07
85140,2022-07,2022-07
52930,2022-12,2023-11
69172,2022-11,2021-01
13992,2023-07,2022-06
45997,2022-07,2023-03
4344,2021-10,2022-05
30203,2021-09,2021-07
25737,2022-04,2023-08
75725,2022-07,2023-03
11918,2023-01,2021-07
58277,2021-12,2022-11
34898,2022-09,2022-09
17574,2022-11,2021-11
81956,2023-08,2021-01
36945,2021-11,2023-09
91979,2022-03,2022-05
2530,2022-09,2022-08
25399,2023-10,2021-09
5903,2021-04,2022-01
94982,2022-12,2021-08
81409,2021-07,2022-09
81957,2021-10,2021-05
16728,2022-02,2022-12
2322,2021-02,2022-10
82265,2023-05,2023-11
6301,2022-01,2023-09
29955,2023-03,2021-01
3897,2022-08,2021-02
83860,2021-11,2022-12
69804,2022-06,2023-04
90703,2022-05,2021-09
91593,2022-08,2021-03
64997,2022-05,2023-12
70071,2021-02,2022-05
84477,2023-04,2021-10
18030,2023-12,2021-11
29815,2021-12,2023-12
38085,2022-08,2021-11
88270,2023-11,2022-09
88590,2023-01,2023-08
92155,2021-06,2021-01
18777,2021-09,2022-07
26849,2022-04,2022-05
12129,2023-06,2023-07
23261,2022-10,2021-07
69136,2022-01,2022-03
51876,2023-02,2021-05
89622,2023-10,2021-10
96081,2022-01,2022-12
48071,2022-03,2021-09
24473,2022-01,2023-03
34929,2023-05,2023-05
42861,2022-03,2022-09
28452,2023-12,2022-03
66995,2021-12,2022-04
73328,2023-07,2022-07
49399,2021-03,2023-04
45874,2022-01,2022-08
42309,2022-08,2021-12
68810,2023-05,2023-04
15162,2021-10,2021-01
79934,2022-03,2023-08
61465,2023-10,2022-06
74249,2023-02,2022-01
56933,2023-01,2023-04
52034,2022-02,2021-10
7319,2022-08,2022-06
99840,2021-05,2021-09
14316,2023-11,2021-08
25867,2023-01,2021-01
8983,2023-08,2021-10
68463,2022-01,2021-04
80661,2022-06,2022-10
92375,2023-08,2021-08
77759,2021-03,2021-12
69456,2021-09,2022-08
43834,2022-06,2023-08
43424,2023-06,2023-05
25556,2021-01,2023-11
2502,2021-04,2021-11
1885,2022-11,2021-12
55614,2023-02,2023-01
87434,2022-04,2021-11
50598,2021-05,2022-03
6832,2021-09,2021-09
43544,2022-01,2021-07
37469,2023-07,2021-05
64614,2023-08,2022-03
60635,2021-07,2022-07
99104,2021-04,2021-12
31530,2022-02,2021-08
41424,2022-04,2023-12
26705,2023-03,2021-10
15676,2023-02,2021-04
18464,2023-05,2021-05
71866,2023-09,2022-08
64563,2023-11,2021-12
4200,2021-09,2021-08
70728,2022-09,2023-08
24374,2021-01,2022-09
94811,2023-12,2022-12
16626,2021-02,2021-08
70122,2023-02,2022-05
17572,2021-09,2023-01
46053,2023-12,2022-07
73295,2023-06,2021-12
5711,2021-10,2023-05
31683,2023-04,2021-10
37161,2021-09,2021-05
92091,2021-01,2021-06
71968,2022-09,2021-07
14197,2021-03,2021-03
24828,2023-11,2022-07
29802,2023-06,2021-01
39611,2023-09,2022-11
88196,2022-10,2022-11
57070,2023-07,2021-03
29284,2023-02,2021-09
16830,2021-04,2022-05
71300,2023-05,2021-06
51594,2022-01,2022-04
82932,2021-10,2021-11
74278,2021-02,2023-07
8095,2022-01,2021-01
78138,2023-01,2023-05
17886,2021-03,2021-09
92546,2023-07,2023-03
64732,2021-07,2023-07
16862,2021-01,2022-12
60049,2021-07,2022-06
69024,2022-12,2022-03
59063,2022-06,2022-09
1151,2022-02,2022-06
90642,2022-07,2022-08
59327,2021-04,2021-07
14717,2021-01,2022-02
78769,2023-10,2023-10
22042,2022-04,2021-08
32600,2022-03,2023-10
90918,2021-07,2022-02
99052,2022-07,2021-12
50392,2022-08,2022-07
8392,2022-07,2021-04
55821,2021-03,2023-03
14983,2022-05,2023-11
49071,2023-11,2021-03
48960,2021-12,2021-05
61048,2023-12,2021-04
12271,2023-07,2022-11
58619,2023-02,2023-08
17091,2022-08,2022-10
45870,2022-06,2021-05
23436,2023-02,2022-04
65939,2021-11,2023-11
86612,2021-02,2022-05
43633,2021-04,2021-09
54814,2022-02,2023-08
26365,2021-01,2022-12
72138,2023-12,2021-08
58727,2022-03,2021-12
84870,2022-07,2021-12
71378,2021-03,2023-06
28535,2021-09,2021-10
93083,2023-09,2021-06
73350,2022-05,2021-06
76684,2022-01,2021-01
63944,2023-05,2022-01
56689,2021-12,2023-12
84816,2022-08,2022-12
45008,2023-03,2021-05
87188,2022-09,2021-10
30757,2021-09,2023-02
6972,2023-04,2022-03
47476,2021-11,2022-05
3555,2022-03,2023-01
11694,2023-10,2023-09
65914,2022-12,2023-02
83912,2023-11,2022-04
73315,2022-04,2023-09
35206,2021-07,2021-12
89899,2023-03,2021-05
83702,2021-12,2021-09
92014,2023-06,2022-11
50618,2023-03,2021-10
