customer_id,recency,frequency,monetary
2,1065,1,60.09
8,42,1,65.25
9,633,1,65.63
13,760,1,71.9
14,557,1,76.14
17,504,1,97.28
19,807,1,122.93
20,121,4,124.47
21,1033,1,171.32
22,170,4,477.32
23,603,1,73.88
25,844,2,365.86
26,615,1,54.35
28,381,2,177.79
29,1045,1,595.26
32,701,1,100.17
33,540,1,8.1
37,243,2,59.53
41,391,3,620.05
44,384,1,103.79
46,316,3,562.01
47,527,1,29.91
48,678,1,171.12
49,1056,1,39.19
50,221,3,301.78999999999996
51,346,1,42.15
52,904,1,138.3
53,492,1,15.95
55,347,1,100.74
56,501,1,55.22
57,483,1,17.78
62,413,1,32.63
63,453,2,297.94
64,634,1,111.58
66,948,1,53.58
67,667,2,336.06
68,702,1,64.83
69,715,1,52.98
71,34,2,99.75999999999999
72,219,2,161.26999999999998
73,82,1,319.61
74,35,3,217.19
75,9,2,68.4
77,369,1,41.65
79,32,3,174.82000000000002
81,975,1,76.56
82,573,2,48.16
84,350,1,216.19
86,23,3,624.27
87,503,1,68.17
88,188,1,52.69
93,973,1,15.43
95,110,4,490.71000000000004
99,225,2,194.5
100,207,2,249.56
101,393,2,312.31
102,97,2,68.17
104,216,3,348.09
106,730,2,236.5
108,77,1,19.79
110,217,1,287.09
111,4,2,95.32000000000001
112,325,1,26.64
113,712,1,77.29
115,48,1,151.56
118,999,1,44.1
119,619,1,104.12
120,387,1,19.46
121,925,1,33.92
122,676,1,37.34
123,126,2,22.89
124,567,3,264.94000000000005
125,144,2,174.45999999999998
126,483,1,40.18
127,554,1,75.08
128,455,2,197.32
129,662,1,27.04
132,137,1,83.65
133,562,1,42.58
134,6,1,75.76
135,629,3,561.3
136,111,1,195.18
138,708,1,57.72
139,10,3,163.51999999999998
141,71,1,95.23
142,128,2,60.78
144,154,1,39.2
145,324,1,120.18
146,725,1,73.01
149,57,1,70.27
152,1052,1,100.06
153,51,1,42.41
154,312,1,267.66
159,624,1,48.76
160,126,2,67.52
161,763,1,230.76
162,327,2,410.12
164,191,1,79.31
165,951,1,161.9
166,3,1,42.42
167,551,2,179.14
168,928,1,82.85
169,746,1,29.13
173,62,1,14.16
175,277,1,85.89
176,203,1,117.68
177,454,1,73.08
178,421,3,242.51
179,59,1,310.08
181,1082,1,9.49
186,624,3,125.67
187,616,1,69.16
192,861,1,128.98
194,354,2,64.29
196,549,1,162.37
197,856,1,57.39
198,504,3,233.64999999999998
199,426,2,186.57999999999998
207,179,2,323.55999999999995
209,616,2,202.43
210,1025,1,69.28
214,910,2,139.2
217,454,3,561.31
219,729,1,9.04
220,88,1,141.85
222,482,1,73.46
224,100,3,486.09000000000003
225,101,1,94.48
226,773,1,266.82
227,754,1,41.88
228,303,1,40.4
233,822,1,43.46
236,817,2,110.28
237,961,1,62.14
238,220,1,44.34
239,849,1,466.36
240,186,1,44.77
241,595,2,330.43
242,886,1,76.74
245,78,1,94.17
248,475,1,97.64
249,1043,1,91.96
252,23,2,60.489999999999995
254,319,1,141.47
255,126,5,881.44
256,173,1,185.62
257,148,2,122.64
258,61,1,48.7
260,233,2,148.67000000000002
262,321,1,139.69
267,1018,1,74.75
268,866,1,156.84
270,97,2,131.7
271,920,1,88.94
273,328,2,151.49
274,269,3,192.06
275,380,1,37.83
277,498,4,112.21000000000001
278,45,2,278.58000000000004
281,59,1,124.35
282,98,2,120.79999999999998
284,224,2,132.75
286,422,1,124.35
289,38,2,149.75
290,433,2,194.07999999999998
292,156,3,103.01
295,194,1,83.74
298,622,1,65.23
300,108,1,25.29
301,810,1,83.12
302,573,2,231.35
304,351,1,17.16
305,798,1,11.68
306,85,2,128.02
309,485,1,18.41
310,926,1,166.81
312,779,1,52.88
313,176,2,177.94
314,83,1,41.7
315,354,1,91.34
316,576,2,41.59
317,342,1,55.59
318,52,1,58.42
319,359,2,175.45
320,717,1,43.64
321,230,2,108.41
322,444,1,367.02
326,719,2,376.65
327,370,2,72.66
328,395,1,66.24
329,132,1,401.49
330,862,1,187.48
332,396,2,228.41000000000003
334,154,1,18.24
335,44,4,383.88
337,955,1,46.89
339,211,3,321.68
340,201,2,170.01
342,23,1,47.46
345,447,2,94.46000000000001
348,803,1,150.54
349,685,1,33.38
350,885,1,94.22
351,142,2,186.48000000000002
356,604,1,128.96
357,406,1,133.76
358,768,1,36.21
359,951,2,116.72
360,603,2,41.129999999999995
361,90,1,121.81
362,798,1,63.7
363,45,2,132.93
364,154,1,153.22
365,1052,1,29.26
366,980,1,21.33
371,741,3,356.66
372,488,1,68.64
373,25,3,280.02
374,891,1,166.68
376,986,1,90.28
380,858,1,20.67
381,376,3,381.7
383,851,1,170.78
384,947,1,34.7
385,1061,1,43.55
387,151,2,313.95
389,21,2,106.86
392,1018,1,86.96
393,349,2,174.26
394,81,1,36.68
395,16,1,299.1
396,24,2,102.52
399,960,1,161.9
400,435,1,131.52
401,698,2,96.19
406,779,1,126.91
408,213,1,63.71
410,820,1,77.61
412,371,3,285.47
413,716,1,15.75
415,103,1,14.18
419,15,1,30.13
423,556,2,103.06
424,4,1,69.02
425,235,3,152.6
426,549,2,299.41
428,402,2,251.18
429,554,1,146.85
433,796,1,73.57
435,792,1,33.93
437,243,1,99.3
438,740,2,264.08
439,679,1,42.0
440,13,2,773.0300000000001
442,404,1,50.68
445,851,1,11.17
447,613,1,169.6
448,326,2,198.42000000000002
449,273,3,220.20000000000002
450,590,1,34.9
452,5,1,59.43
453,60,1,72.92
454,771,1,25.84
455,307,3,660.4100000000001
456,117,1,82.99
457,1054,1,49.51
459,222,4,209.11
463,500,3,261.12
464,793,1,80.36
465,135,2,155.82
467,448,2,170.5
468,56,2,457.6
469,934,1,213.98
470,1020,1,161.28
471,25,1,91.14
472,531,1,277.95
473,1094,1,48.22
475,349,1,12.89
476,444,3,310.12
478,469,1,166.44
479,399,2,142.2
480,235,1,70.48
481,701,1,22.17
482,409,3,209.85
484,587,1,87.61
485,828,1,52.89
487,1077,1,343.66
490,422,1,73.9
491,391,1,37.28
492,23,1,130.42
493,16,1,77.56
494,1,3,299.51
497,548,1,186.87
498,731,2,25.95
499,125,1,32.84
501,797,2,220.31
502,891,1,87.85
504,270,1,98.88
505,97,1,125.24
506,1012,1,132.72
507,123,2,164.66
508,205,2,101.76
509,840,2,212.73000000000002
510,121,1,125.75
512,789,1,68.63
513,755,1,48.63
514,489,3,437.6
515,185,4,436.66999999999996
516,853,1,141.2
518,304,2,296.19
519,369,2,100.2
523,826,1,104.85
524,251,2,227.15
527,209,2,259.17
528,379,1,67.46
530,303,3,391.45
533,373,1,92.14
534,48,2,99.11
535,714,1,73.99
537,333,2,94.68
539,144,2,472.08000000000004
542,195,1,123.47
543,55,1,73.36
546,566,1,65.56
547,618,1,92.88
549,68,1,73.04
550,189,2,246.13
551,814,2,284.1
552,16,2,198.66
553,595,1,167.12
555,29,2,203.32999999999998
557,763,1,228.58
558,401,1,36.69
560,1066,1,48.57
561,407,2,154.14999999999998
562,136,2,622.0600000000001
563,304,2,119.91999999999999
566,868,1,128.44
568,529,2,192.45999999999998
570,754,2,148.67
571,989,1,80.2
575,108,1,14.5
576,447,1,98.94
577,551,1,20.88
578,1093,1,126.17
579,693,2,416.23
581,799,1,93.74
583,83,1,17.49
584,881,1,16.59
589,794,2,140.16
590,422,1,26.66
591,993,1,77.29
594,549,2,65.85
596,617,1,50.96
598,758,1,12.04
599,276,2,246.92000000000002
600,346,1,41.19
601,247,2,306.76
602,1006,1,9.99
603,431,2,227.26
605,3,4,178.4
606,1013,1,217.38
607,866,1,73.34
608,30,2,187.49
609,620,1,22.63
613,109,2,394.46000000000004
617,509,1,128.05
618,248,2,435.64
620,511,1,74.88
621,299,1,53.18
625,415,2,108.93
626,317,2,195.8
629,282,2,177.64
630,911,1,124.6
631,1004,1,160.1
632,398,1,44.34
639,775,1,57.0
642,41,5,319.27
643,3,2,361.64
646,829,2,102.02
647,16,2,133.39
649,672,2,237.69
650,1083,1,40.4
651,448,3,456.72999999999996
652,508,1,73.91
655,415,1,118.92
656,771,1,146.36
657,457,1,93.59
658,630,3,374.96000000000004
661,496,1,86.45
662,603,1,112.91
665,844,1,67.41
666,654,1,67.92
669,680,2,582.66
674,86,1,6.86
677,720,1,73.38
681,185,2,436.35
682,48,2,368.38
683,182,2,75.06
684,734,3,152.56
686,24,1,666.4
688,775,1,97.1
689,969,1,74.12
690,20,1,17.82
696,150,2,122.63
698,380,2,93.86999999999999
699,379,2,178.19
702,313,2,128.72
705,384,2,175.61
706,746,2,342.08000000000004
707,1082,1,501.96
709,564,3,400.07
712,672,1,71.93
714,124,1,31.2
720,891,1,348.48
722,308,1,212.26
723,797,3,117.74
724,426,1,80.72
725,816,2,79.85
726,380,1,81.58
727,246,2,125.36
728,747,1,149.42
730,427,3,243.03000000000003
731,584,1,199.24
732,15,2,274.3
733,1010,1,40.61
735,302,1,53.42
738,63,1,88.12
739,309,1,152.68
740,412,1,40.79
742,850,1,171.43
743,27,2,279.77
744,727,1,69.69
746,796,1,28.83
747,206,2,77.24
748,259,3,264.12
749,184,2,61.09
750,199,1,103.79
751,555,2,149.42
752,748,2,43.0
754,311,1,71.9
755,1077,1,55.34
756,41,3,225.99
761,189,1,55.85
762,996,1,20.43
763,216,2,319.21
765,1035,1,6.61
766,37,1,188.61
767,18,3,246.97
768,1086,1,363.9
769,531,2,162.26
770,1091,1,48.86
771,22,1,56.01
774,7,2,511.44000000000005
775,97,2,232.1
776,462,2,274.89
777,924,1,20.14
778,736,1,20.25
779,498,1,63.03
780,643,2,225.70999999999998
781,252,1,167.48
782,372,3,316.24
784,699,1,20.3
788,204,3,690.9499999999999
789,972,1,11.42
790,656,1,78.06
791,905,2,106.49
792,484,1,55.93
795,947,1,57.44
796,177,2,876.02
797,398,2,252.67
798,401,1,36.58
799,320,1,63.45
800,35,2,80.84
801,986,1,100.29
802,432,1,120.72
804,954,1,10.66
805,213,1,97.08
806,62,3,228.68
810,273,1,119.5
811,234,1,90.84
813,239,2,114.99
814,263,1,110.55
818,196,1,77.82
819,110,2,72.91
820,221,1,165.67
821,251,2,156.29
822,462,1,212.96
823,436,1,54.43
825,80,3,136.31
827,857,2,154.23
828,422,1,87.72
829,3,2,385.47
830,887,1,51.47
831,890,1,33.43
832,830,1,153.98
833,760,2,78.88
834,170,2,218.04999999999998
835,17,4,509.21
836,25,1,43.2
837,398,2,198.86
838,678,1,89.88
839,403,1,92.98
841,746,1,240.74
842,90,2,183.19
843,1031,1,53.2
844,319,2,239.44
845,840,1,33.65
846,63,2,57.91
849,130,2,31.53
850,605,1,45.12
851,595,1,45.71
852,562,3,233.13
853,183,3,244.10999999999996
855,936,1,63.43
861,946,1,203.41
863,446,1,13.06
865,462,2,69.1
867,705,1,309.55
868,245,2,340.45000000000005
869,303,1,15.56
870,0,2,197.51
871,258,2,93.83
872,46,1,136.61
873,847,1,36.72
874,345,1,59.7
878,186,1,21.86
879,216,3,315.97
880,390,1,69.41
882,877,1,22.09
886,73,3,106.82
887,281,3,479.14
889,754,1,65.85
890,48,2,175.91
892,441,1,140.37
895,688,1,27.72
904,482,1,96.8
905,357,1,36.36
907,400,1,111.12
909,1091,1,73.21
911,602,1,75.01
913,550,2,96.22
914,273,2,684.3100000000001
917,681,1,53.46
919,479,1,39.4
920,268,1,65.97
921,924,1,85.57
923,880,1,63.73
924,197,1,26.49
925,641,1,157.68
926,539,3,199.94
928,1032,1,19.91
929,65,2,213.7
930,616,1,68.62
931,746,3,146.77
933,1037,1,55.24
935,312,2,228.14
937,944,1,24.22
938,279,1,28.63
940,1061,1,38.71
941,459,1,20.75
942,660,1,61.81
944,602,2,143.26999999999998
945,650,1,95.72
948,804,1,79.9
951,212,1,32.3
952,804,1,25.12
953,984,1,170.42
954,398,1,116.58
955,611,1,364.28
957,16,2,300.13
958,1053,1,34.89
959,749,1,71.23
960,998,1,335.64
961,82,1,185.51
962,158,2,366.64
966,843,2,73.11
970,22,2,114.03
972,987,1,40.6
973,121,1,154.38
975,221,3,315.72
977,55,1,13.05
978,473,1,110.21
980,725,1,94.39
981,363,3,438.55000000000007
984,419,1,49.7
985,801,1,78.46
986,4,2,112.51
987,379,1,111.58
989,983,1,12.13
990,907,2,117.75999999999999
991,99,2,63.269999999999996
992,129,3,328.81
997,85,1,42.0
999,592,2,243.46
1006,754,2,87.22
1007,492,1,56.6
1010,682,3,322.20000000000005
1011,996,1,72.39
1012,187,1,64.43
1013,441,1,121.28
1014,340,1,92.26
1015,413,1,90.81
1017,200,1,97.97
1019,17,2,149.64
1020,121,2,259.3
1024,119,1,46.91
1025,437,1,85.88
1026,46,1,50.11
1027,335,2,137.64000000000001
1029,1034,1,19.4
1030,81,2,153.19
1031,925,1,27.97
1034,273,1,460.16
1035,496,2,89.71000000000001
1036,50,2,97.41
1040,306,3,400.46
1041,141,2,345.39
1042,1037,1,23.79
1043,587,1,75.56
1044,2,3,261.94
1047,15,1,20.77
1052,602,3,131.12
1054,818,2,252.20000000000002
1055,112,1,141.91
1056,10,1,80.95
1057,1092,1,26.02
1058,107,4,353.64000000000004
1059,17,2,258.85
1061,7,1,89.27
1062,263,1,36.56
1063,375,1,63.7
1067,762,1,114.33
